-lrb- cnn -rrb- two cnn heroes are among the earthquake survivors in kathmandu , nepal .   and they are struggling in the aftermath .   anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls .
a coroner has slammed the ease with which illegal drugs can be ordered over the ` dark web ' after two student brothers died consuming ecstasy they had bought online .   astrophysics undergraduate torin lakeman , 19 , died alongside his brother jacques , 20 , in a pub in manchester after consuming six times the lethal dose of mdma after ordering the drug via the web .   at bolton coroner 's court today , alan walsh said he would be contacting home secretary theresa may over the deaths , adding that it was unacceptable that ` intellectual people are able to access drugs in this way .
but kendall and baylee are no ordinary twins .   father curtis martin and mother rebecca horton cradle twins kendall -lrb- centre left -rrb- and baylee -lrb- centre right -rrb- who were born with very different skin tones thanks to a rare quirk of genetics .   miss horton , 28 , is white , while mr curtis , 24 , is half jamaican .
the new ` skywalk ' observation deck has opened to the public in yunyang county , southwest china , and those with vertigo are advised to stay at home .   the cantilevered platform in chongqing has a 720 degree view from a vantage point that stands nearly 4,000 feet above sea level .   work on the # 3.7 million structure started in march last year with builders facing a terrifying trip to work each day .
liverpool 's players must focus on getting themselves and the club into the semi-finals of the fa cup rather than steven gerrard , according to reds legend robbie fowler .   gerrard will leave anfield at the end of the season to join major league soccer side la galaxy and the skipper is hoping to bow out in style by leading brendan rodgers ' side to the final at wembley .   gerrard will miss liverpool 's fa cup quarter-final replay with blackburn because of suspension .
-lrb- cnn -rrb- recently , a new york judge issued an opinion authorizing service of divorce papers on a husband completely via facebook .   what exactly is `` service of process '' ?   one form of alternate service is `` nail and mail '' service .
a telescopic tube that scans the lungs for cancer is being used by nhs doctors , cutting diagnosis time from days to just 30 minutes .   now doctors at university college london hospitals nhs foundation trust -lrb- uclh -rrb- are able to start vital treatment much sooner using a single procedure .   it even allows them to assess instantly the type and severity of the cancer .
sportsmail 's top team of reporters have submitted their starting line-ups for the finals in france , assuming everyone is fit of course .   england manager roy hodgson pictured at the juventus stadium during tuesday 's friendly against italy .   england captain wayne rooney -lrb- centre -rrb- looks to get a shot in at the italian goal on tuesday .
the bbc has made light of disgraced presenter jeremy clarkson 's attack on a junior producer by poking fun at the incident in a comedy programme .   a new episode of mockumentary w1a , to be broadcast later this month , shows bosses holding an emergency meeting after clarkson uses the word ` tosser ' on top gear .   the bbc has made light of jeremy clarkson 's attack on a junior producer by poking fun at it in a comedy show .
kansas is one signature away from telling poor families that it 's illegal to use their welfare payments to buy alcohol , tobacco and pornography , to visit strip clubs or tattoo shops , and to take vacation cruises or gamble on dog or horse races .   swimming pools , jewelry and lingerie stores , psychics , movie theatre , nail salons , massage parlors , bars and theme parks will also be forbidden territory for the first time , if republican gov. sam brownback signs a bill that hit his desk last week .   the proposal would also give the force of state law to some of brownback 's policies , including one that requires ` temporary cash assistance ' recipients to hold down jobs , look for work or enroll in job training programs .
a video showing a man cracking a giant egg to reveal another fully formed egg inside , may be enough to scramble your brain .   youtube user elman511 cracked open the over-sized egg that was laid by one of his hens , exclaiming : ` the big egg has another normal egg in it !   ' while the instance is extremely rare , it 's caused when the hen is in the process of forming an egg in her oviduct and another oocyte -- the ovum or egg cell that becomes the yolk of the egg -- is released too soon .
### NO MATCH FOUND ###
however this steep-walled phenomena is located in japan and attracts visits from thousands of tourists annually - with the number predicted to rise this year .   the tateyama kurobe alpine route opened to the public on today and allows tourists to view the spectacular snow-walled passageway along the 1000ft section .   an estimated 910,000 flock to the frozen passage last year .
louise shepherd had been hiking through the remote madidi national park in the north-western part of the country when a tree toppled onto her during a storm .   ms shepherd , from cobham , surrey , had taken a ` gap year ' off work in order to go travelling around the world with her sister hannah and college friend rose jones , both 30 .   she was my best friend .
estate agents in london are now said to be offering a higher ` cameron price ' and lower ` miliband price ' for the same property .   the annual levy will hit his own home in north london -lrb- right -rrb- .   mr miliband has pledged to introduce an annual levy on homes worth more than # 2million to raise money for the nhs .
mitchell keenan , with his father keith , who had to have his toes amputated after contracting frostbite while being forced to live in a tent .   the family of a disabled man claim he had to have all of his toes amputated after he was forced to live in a tent through the winter because he was evicted from his home .   mitchell keenan , 32 , was diagnosed with frostbite six weeks ago after his sister discovered his blackened toes and rushed him to hospital .
john carver says his newcastle players have a point to prove to themselves at liverpool on monday night .   john carver says his newcastle players have a point to prove when they face liverpool on monday .   newcastle in training earlier this week for their game against liverpool on monday in the premier league .
ipswich boss mick mccarthy hailed the ` belligerent , stubborn and hard working ' qualities of his ` horrible bunch ' of players after a determined 1-1 draw at his former club wolves moved town closer to securing a place in the skybet championship play-offs .   mick mccarthy 's ipswich were denied three points as rivals wolves fought back to draw 1-1 on saturday .   it is lovely to have .
police in rhein erft , received a bizarre phone call explaining that a large kangaroo was spotted ` happily ' hopping through a field .   police in rhein erft , germany initially dismissed reports that a kangaroo was found hopping in a field nearby .   they discovered that the call was in fact serious and later found the australian marsupial in a field in bruhl .
khalid saeed batarfi was a senior leader with al-qaeda in the arabian peninsula -lrb- aqap -rrb- before he was jailed by yemeni officials .   two days ago he was freed , along with 300 other inmates , as the terrorist group stormed the prison he was being held in , killing two guards .   scroll down for video .
the girl in the spider 's web , published worldwide on august 27 , will be the fourth installment in the best-selling millennium crime trilogy by swedish author stieg larsson .   the book was completed in november by david lagercrantz based on a plot outline left by larsson before he died of a heart attack in 2004 aged 50 .   ` it was a little awkward .
sunderland midfielder lee cattermole will return to the starting line-up for sunday 's derby clash with newcastle .   head coach dick advocaat has confirmed that cattermole will be back against the magpies after serving a two-match ban for reaching 10 bookings for the season .   newcastle defender massadio haidara will miss sunday 's derby trip to sunderland and will not play again this season after undergoing surgery .
sofia , the middle child of chelsea fc owner abramovich 's five offspring with second wife irina , revealed she had been bullied by users of the site about her appearance and weight .   sofia abramovich - the daughter of chelsea owner roman - has hit back at people who have criticised her on instagram saying she is going to turn their negativity into positivity .   but now sofia has hit back , saying that she is going to turn the negative comments into a positive for her life .
the divers stopped searching months ago because of the winter and water conditions , and the south korean ferry remains on the bottom of the sea floor .   the sewol sank on april 16 , killing 304 people , mostly high school students who were on their way to a field trip to jeju island , off south korea 's southern coast .   nine have yet to be found .
a russian nuclear submarine that caught fire in a shipyard was submerged to extinguish the blaze yesterday .   defence sources said the submarine 's weapons and critical elements of its nuclear reactor had been removed before the fire broke out .   defence sources said the submarine 's weapons and critical elements of its nuclear reactor had been removed before the fire broke out .
javier hernandez scored the goal of his life on wednesday night but real madrid are unlikely to take up their option to buy the player .   javier hernandez wheels away after scoring against atletico madrid in the champions league quarter-final .   the mexico striker 's late goal was enough to send real madrid through to the semi-finals .
in 2008 , naomi jacobs - then aged 32 - woke up terrified of her son , in totally unrecognisable surroundings and thought she was 15 years old .   overnight , she had been struck with transient global amnesia , a form of memory loss brought on by stress that had wiped the ` episodic ' part of her memory .   naomi jacobs was 32 when she woke up one morning having lost her memory of the past 17 years of her life .
michael hanline , 69 , was convicted of murder for the fatal shooting of truck driver j.t. mcgarr in 1980 .   but more than three decades after he was incarcerated , it emerged that crucial dna analysis and investigative reports were withheld from his original trial .   michael hanline , 69 , pictured with wife sandy , has been released from jail after spending 36 years behind bars for a murder he did not commit .
a business called edward 's snow den has appeared in the us president 's headquarters thanks to the clever work of security consultant bryan seely .   a business called edward 's snow den has appeared in the us president 's headquarters .   it is thought that edward snowden was living in a secret location in russia .
seoul , south korea -lrb- cnn -rrb- on march 20 , 2013 , a cyberattack brought chaos to several banks and media outlets in south korea .   then more ominously on december 23 last year , computers at the country 's nuclear operator were breached .   and south korean investigators say they have proof -- the actual malicious codes used in the attacks .
the video - filmed by a passer-by in shanghai - shows the young woman dangling off the ledge having apparently threatened to jump , reports people 's daily online .   police had failed to convince the woman - who was depressed after being dumped by her boyfriend - to climb back into a nearby apartment while firefighters on the street below prepared a ladder to try to reach her .   video footage captured the moment fireman xu weiguo grabbed the suicidal woman 's arm just in time .
jurgen klopp has told borussia dortmund he wants to quit at the end of the season , according to reports in germany .   jurgen klopp has told borussia dortmund he wants to leave the club this summer .   a downcast klopp during dortmund 's 3-1 loss to borussia monchengladbach at the weekend .
disgraced former virginia gov. bob mcdonnell made his final written plea to a federal appeals court wednesday , arguing that the favors he did for a wealthy businessman were routine courtesies and not part of a bribery scheme .   the onetime rising republican star made the argument in a 54-page brief in the 4th u.s. circuit court of appeals .   mcdonnell was sentenced to two years in federal prison for public corruption .
an ohio couple have been found dead in an apparent murder-suicide in their stateroom aboard a holland america cruise ship docked in puerto rico .   the unidentified man and woman were in their 50s and from cleveland , police sgt. ricardo cruz told the associated press .   cruz said blood was found in the cabin aboard the ms ryndam , but it was unclear how the couple died .
no one was injured after the boy shot twice toward the ceiling in the school commons before classes began at north thurston high school in lacey , about 60 miles southwest of seattle , authorities said .   brady olson , who teaches advanced placement government and civics at the school , knocked the armed student to the ground and kept him pinned down until authorities arrived , witnesses said .   the shooter is in custody at the lacey police station .
the firm 's latest update automatically shows the latest pictures posted to facebook 's site .   tinder will now display the last 34 pictures of a person 's instagram feed - and allow users to see more .   tinder only displays the last 34 photos , users can venture out to the app for a look at the full library .
moors murderer ian brady has revealed he is a ukip supporter and thinks david dimbleby is an ` establishment dumpling ' .   the 77-year-old wrote the letters from his bed at ashworth psychiatric hospital in merseyside .   brady was jailed for life in 1966 after torturing and killing five children with his then-girlfriend myra hindley .
they are some of the earliest holiday snaps of the chinese capital -- taken between 1900 and 1911 during the qing dynasty -- and they show landmarks almost devoid of visitors .   the quiet scenes are a far cry from modern-day beijing , which is one of the most populous cities in the world and visited by tens of millions of domestic and international tourists every year .   the origin of the photos is not known .
a man deliberately drove his car straight through the front doors of a police station - and then managed to escape the scene in the damaged vehicle .   the 42-year-old man allegedly threw a wheel spanner at a night security patrol car before recklessly driving his dark blue ford falcon ute at full speed towards the harts range police station just before 10pm on sunday .   a man deliberately drove his dark blue ford falcon ute into the doors of the harts range police station .
for the first time in the annals of boxing -- as floyd mayweather and manny pacquiao step on the scales next friday -- fans will be charged for admission to a weigh-in .   floyd mayweather with girlfriend doralie medina -lrb- left -rrb- and manny pacquiao with his wife jinkee -lrb- right -rrb- .   mayweather visits subzero recovery in las vegas , a new-age version of the ice bath .
hillary clinton 's now-famous scooby doo van made an appearance in council bluffs , iowa on thursday for a closed-door meeting with state democratic party officials -- and it idled in a handicapped parking space from beginning to end .   scroll down for videos .   secret service agents parked hillary clinton 's campaign van in a handicapped spot on thursday while she was in a top-secret meeting with democratic party officials .
a 33-year-old woman on trial for having sex with a male inmate at washington county jail six times over four months while working as a services technician cried in court wednesday as a judge rejected her request to use an insanity defense .   brett robinson will now stand trial next week on 12 charges related to sexual misconduct and official misconduct , on allegations that she let the inmate out of his cell multiple times and engaging in sex acts between march and july last year .   robinson was hoping to present a psychologists report as evidence of mental disease or defect .
environmental activists rescued 40 crew from a sinking ship it suspected of conducting illegal fishing near the island of sao tope , off the gabon coast .   the nigerian-flagged thunder was being tracked by activists from the charity sea shepherd , who believed it was engaged in illegal fishing .   the thunder 's captain and crew manned life rafts late on monday after the ship was scuttled .
guests attending a service in london to mark the 200th anniversary of the battle of waterloo have been told not to act in a ` triumphalist ' way -- to avoid upsetting the french .   invitations to the service at st paul 's cathedral advise that it will avoid glorifying the duke of wellington 's historic victory over napoleon in 1815 .   napoleon was responsible for between three million and 6.5 million deaths .
doctors have condemned a social media campaign which accuses mothers who have a caesarean as being ` too lazy to have a baby ' .   the image , which is believed to come from a firebrand american religious group called ` the disciples of the new dawn ' in the u.s , has been circulating on mother 's groups in australia .   it 's plain stupid .
the sum is almost five times the prime minister 's # 142,500 pay packet -- and comes as thousands of patients struggle to get on the books of nhs practices .   a further 11 dentists were paid between # 400,000 and # 500,000 and a total of 177 received more than # 200,000 .   more than 1,600 pocketed # 100,000 - # 200,000 .
with less than a day left to go before he is due to be operated on , 18-year-old jackson byrnes from northern new south wales has accumulated close to the target on hisgofundme page .   three weeks ago mr byrnes was told by doctors that he had a stage four brain tumour that was too deep and aggressive to be safely operated on .   jackson byrnes was diagnosed with a stage four brain tumour three weeks ago .
ramsey 's qpr , who face pulis 's west brom at the hawthorns on saturday , are 19th in the barclay 's premier league table -- four points adrift of sunderland in 17th .   chris ramsey praised tony pulis ahead of his sides crucial clash with west brom in the premier league .   not just here , at any club .
brendan rodgers has come out fighting after suffering wembley disappointment and insisted he is the right man to lead liverpool next season .   ' liverpool manager brendan rodgers has backed himself to improve the club next season .   steven gerrard -lrb- left -rrb- trains alongside jordan henderson , who signed a new liverpool contract on thursday .
a former immigration consultant attempted to lure female clients into his home to perform sexual favours for him , a court has heard .   hakaoro hakaoro was sentenced to 20 months in jail in january 2014 for working without a licence .   this week the 55-year-old has been found guilty of six new complaints by the immigration advisors disciplinary tribunal .
a new survey has revealed that women regret their career choices more than men .   with 47 % compared to only 40 % of men .   just under half -lrb- 47 per cent -rrb- of women aged over 55 expressed disappointment over their decisions , compared to just 40 per cent of men .
### NO MATCH FOUND ###
rare and valuable pieces of meteorite have fallen to earth from a gigantic fireball that lit up the skies over britain and ireland , experts say .   the fireball was captured on camera on sunday by the united kingdom meteor observing network -lrb- ukmon -rrb- in portadown , county armagh .   the fireball was captured on camera on sunday by the united kingdom meteor observing network -lrb- ukmon -rrb- in portadown , county armagh .
looking radiant , daphne selfe , 86 , shows off the collaboration between the footwear super-brand and the ethereal high street store with uncompromising grace .   ' 86-year-old daphne selfe has starred in the campaign for vans and & other stories alongside flo dunn , 22 .   the images show the new footwear which sees stories make a twist on the classic vans slip on .
traitor edward snowden has revealed he did not read all the top-secret intelligence documents he leaked -- a move which put lives at risk from terrorists .   in a television interview the fugitive squirmed as he admitted only ` evaluating ' the files stolen from gchq and the us national security agency .   the former us spy also acknowledged there had been a ` f *** - up ' when newspapers that were handed the classified material failed to redact sensitive details exposing operations against al qaeda .
military and aid flights have priority , and a few military planes -- indian military planes -- were going in , trying to bring in aid .   most buildings are not up to high construction standards .   the guests are in a big tent used for functions on the lawn .
nicola sturgeon is most definitely the most dangerous woman in britain .   not because she might well cosy up to ed miliband and keep david cameron out of office , but because she is living proof that women become sexier with age , income and office .   while in 2001 she dressed according to the angela merkel school of leadership -- a boxy , androgynous look from a woman who had lost her waist along with her sanity , topped and tailed with a krankies haircut and orthopaedic shoes -- today she has shed pounds , bleached her hair , squeezed her feet into kurt geiger heels , and for the leaders ' debate last week , rocked a coral two-piece by the aptly named scottish design label totty rocks .
raheem sterling has turned down a new deal with liverpool and put off contract talks until the summer .   the 20-year-old scored for england in their 4-0 win over lithuania at wembley last friday night .   the liverpool manager prepares his team to take on arsenal on saturday at the emirates stadium .
uefa has opened a real can of worms by ordering the final 18 seconds of the european women 's under 19 championship qualifier between england and norway to be replayed following a refereeing error .   england are awarded a penalty during their european u19 women 's championships qualifier in belfast .   referee marija kurtes points to the spot as england are awarded a penalty in the 96th minute .
a young waitress has claimed that england footballer aaron lennon grabbed her , slapped her and ripped her top as he partied in the vip suite of a nightclub .   the 18-year-old reportedly fled to the toilet in tears and afterwards told police that the # 55,000-a-week tottenham winger had left her with a bruise below her eye .   lennon , who has 21 england caps , lives in a penthouse apartment in the city centre .
a new york city skin clinic 's popular new laser treatment promises to tighten skin and improve complexion - if clients are brave enough to sign a waiver releasing their personal information to a funeral director and a coroner first .   manhattan-based skin laundry says that after just ten minutes , their light and laser procedure will leave your skin ` glowing ' , while also promising that long-term use will reduce wrinkles , clear acne , and minimize scarring .   but that has n't stopped skin-obsessed new yorkers from flocking to the manhattan location .
rangers kept the pressure on hibernian in the race for second spot in the championship with a comfortable 4-0 win over raith rovers .   nicky clark celebrates after putting rangers 1-0 up against raith rovers on sunday .   stuart mccall had suffered his first defeat as rangers manager against queens last week .
total cost , according to his favourite website tmz , is $ 25,000 .   floyd mayweather -lrb- left -rrb- vs manny pacquiao in the official advert for their mega-fight on may 2 .   pay-per-view watchers in america will have to pay up to $ 100 -lrb- # 67.48 -rrb- to watch the fight .
four years ago , a shopping trip was torture for angela kelly , 67 .   though still a super-fit events organiser , the former over-50s all england badminton mixed doubles champion was reduced to hobbling at a snail 's pace , hanging onto her trolley for support .   but a worrying new study by researchers in the u.s. suggests high heels can also put dangerous pressure on knee joints , wearing away cartilage - the body 's built-in shock absorber - and increasing the risk of osteoarthritis .
charity runners taking part in a 10km fun run at the weekend were left exhausted after being sent on an unscheduled two-mile detour .   the blunder was believed to have been caused by a race marshal taking a toilet break during the event , missing 300 runners who should have been directed at a junction point .   instead they continued past the unmanned marshall point and had to run for an extra three kilometres while the other 900 competitors followed the correct route .
brave souls can walk on a glass floor or hang over the edge of the cn tower in toronto while tethered to an overhead rail system .   located in the heart of downtown toronto , the cn tower offers sweeping views of canada 's largest city and lake ontario .   toronto 's cn tower is one of canada 's most recognisable tourist attractions and has been thrilling visitors for nearly 30 years .
it proved too much too soon for paris saint-germain 's david luiz as the brazilian was prematurely brought back from injury to replace countryman and captain thiago silva in the first half against barcelona .   luis suarez torments a less-than-fit david luiz on a night to forget at parc des princes for the brazilian .   suarez celebrates as he scores a double in barcelona 's 3-1 win over psg on wednesday night .
chris ramsey believes three wins from the last five games will be enough to secure queens park rangers ' top flight status .   rangers are in the drop zone of the barclays premier league with 28 points as they prepare for a london derby at home to west ham .   queens park rangers boss chris ramsey believes his side will stay in the premier league with three wins .
an arnhem tv station has lost one of its expensive drones after a chimpanzee managed to knock it out of the sky .   the craft was supposed to be capturing footage of the royal burgers zoo chimp enclosure for a tv show .   following the attack , the drone crashes to the ground - only for the chimp to pounce on it .
a missouri family has bee reunited 49 years after a mother was falsely told her daughter had died at the hospital just hours after being born .   for the first time , zella jackson price , 76 , and melanie diane gilmore , 49 , met in-person at price 's olivette home .   when price gave birth at homer g. phillips hospital so many years ago , she was told shortly after delivery that the infant had died .
now new york governor andrew cuomo has issued a state health alert that the synthetic marijuana product known as ` spice ' is sweeping the city , and that 160 people have been hospitalized in nine days after using the drug .   over 120 of those people were admitted to emergency rooms in the same week .   the cannabinoid , also commonly called ` k2 ' or ` mojo ' , is predominantly abused by teenagers and typically sold over-the-counter as incense or potpourri .
the red cross hopes to bring vital medical supplies and aid workers into yemen after receiving approval from the saudi-led military coalition , an icrc spokeswoman said .   the aid agency has been negotiating for a week to deliver life-saving supplies and equipment to yemen , where the coalition has conducted 11 days of air strikes against iran-backed shi'ite houthis .   the un last week said that more than 500 people had been killed in two weeks of fighting in yemen .
### NO MATCH FOUND ###
the outburst unfolded as kenneth morgan stancil iii , 20 , made his first appearance at the wayne county courthouse in goldsboro , north carolina after being extradited from florida .   he is accused of shooting 44-year-old ron lane at wayne community college on monday morning before fleeing more than 500 miles south .   he was arrested sleeping on daytona beach on tuesday .
two bystanders recorded the fight on their cell phones as tabitha anne bennett allegedly shouted at her daughter to take swings at the older girl in new port richey , florida .   bennett , who is unemployed , was arrested and charged with child abuse , assault and battery offenses , pasco county sheriff 's officials said .   she claimed that the 14-year-old girl had been bullying her daughter .
the 36-year-old is gearing up for his $ 300million welterweight showdown with floyd mayweather on may 2 - in what is set to become the richest bout in boxing history .   but the philipine star took time out of his preparation to thank american film director spike lee and tito mikey for their support so far .   manny pacquiao took to instagram to thank spike lee and tito mikey ahead of his bout vs floyd mayweather .
luis suarez says he nutmegged paris saint-germain defender david luiz twice because it was his quickest way to goal .   the barcelona forward scored a brace in his side 's 3-1 win over psg in the champions league quarter final to put the spanish side firmly in control in the tie .   suarez says his the tie is not over despite the two goal lead .
a 46-year-old man was sentenced to life in prison on monday after shooting dead a father and son because they were related to a driver who killed his nine-year-old sister in a crash 45 years ago .   alfred guy vuozzo swore loudly as he was told he would not be eligible for parole for 35 years for murdering brent mcguigan , 68 , and his son , brendon , 39 , on prince edward island last august .   vuozzo was two years old when his older sister , cathy , was killed in a crash in 1970 .
the ndrf was set up in the wake of the second world war , and at its peak in the 1950s , the fleet consisted of nearly 2,280 ships moored across the united states .   ghost ships : a number of the remaining ships in the united states ' national defense reserve fleet lay moored in james river , virginia .   helping hand : the united states ' national defense reserve fleet was set up after the second world war in 1945 , in order to provide back-up in case of war or national emergencies .
confusion over ukip 's immigration policy grew yesterday after nigel farage called for the number of arrivals into britain to be limited at 50,000 a year .   ukip 's manifesto chief later added to the confusion by saying the 50,000 limit ` might change every year ' .   confusion over ukip 's immigration policy grew yesterday after nigel farage called for the number of arrivals into britain to be limited at 50,000 a year .
the macabre theory has been outlined by detectives investigating the killing of david king , a 70-year-old pensioner from newham , east london , who retired to normandy 15 years ago .   his body was found by sniffer dogs last week in the picturesque hamlet of pierres , south-west of caen , and an unnamed 28-year-old frenchman has been charged with his murder .   the alleged killer was living rough in the area , and is thought to have been behind a number of thefts in the area .
the 1954 bentley r-type continental fastback was estimated to sell for around # 200,000 by auctioneers but ended up being sold for # 739,212 - a record for the auction house .   originally commissioned by welsh racing driver r d weatherall and painted in his racing colour of purple - the license plate still bears his initials .   the rare bentley needs a full restoration after it was allowed to gather dust in a barn over the past 15 years .
the plane , carrying 59 passengers and eight crew members , tilted to one side and its left engine scraped along the runway in khajuraho .   the crew ordered an evacuation after the boeing 737-800 came to a stop , and passengers slid down the plane 's inflatable slides to safety .   passengers spotted smoke outside the plane when the left wing landing gear collapsed , indian media reported .
stephanie scott , 26 , was due marry her partner of five years , aaron leeson-woolley , in front of 120 guests in a small town in new south wales this saturday .   but the english and drama teacher vanished on sunday while excitedly making final preparations for the wedding .   now police have charged a man with her murder despite not having found her body , leaving her loved ones with the devastating task of continuing the search and making funeral arrangements .
justine miliband fell in love with her husband ed after she was attacked by a doberman while canvassing on his behalf - even though she had been ` furious ' with him after a bungled first date .   mrs miliband , 44 , has revealed that she first met the labour leader at a dinner party hosted by a mutual friend and thought he was ` good looking ' and ` unattached ' .   but the labour leader failed to tell his future wife that he was secretly going out with their ` mutual friend ' - understood to be the former bbc economics editor stephanie flanders .
arsenal manager arsene wenger has said he hopes burnley escape relegation after seeing his side have to fight to gain a narrow 1-0 victory at turf moor .   arsenal manager arsene wenger has said he hopes burnley escape relegation from the premier league .   burnley manager sean dyche shakes hands with wenger following arsenal 1-0 victory at turf moor .
a militant group which opposes both isis and the syrian regime has released a striking video showing off 1,700 troops , fleet of armoured tanks and special forces soldiers in an impressive military parade .   these men form a small part of jaysh al-islam - or army of islam - who reportedly command as many as 25,000 loyal fighters following the merger of up to 60 rebel factions inside syria .   dozens of masked special units show off a range of skills including close-range combat in what the group claims is the ` largest military parade witnessed ' since the dawn of the syrian revolution in 2011 .
according to the abc , the largest of the stations is anna creek station in south australia which covers an enormous 23,000 square kilometres .   the eleven cattle farms cover over 100,000 square kilometres and are being sold by the family business s. kidman and co. .   the world 's largest cattle station is for sale in anna creek south australia and it 's bigger than israel .
jurgen klopp is to step down as borussia dortmund manager this summer .   ' jurgen klopp confirmed in a press conference he is to leave borussia dortmund this summer .   klopp will officially cease to be dortmund manager on june 30 .
it has long been a complaint that all politicians are the same .   now the green party has set it to music , with a new election advert featuring david cameron , nick clegg , ed miliband and nigel farage forming a bizarre pro-austerity boyband .   cambridge !
since herman melville penned his novel moby dick more than 150 years ago , scientists have been fascinated by the remarkable attributes of the sperm whale and its kin - the smaller pygmy and dwarf whales .   now , fossils from an extinct pygmy sperm whale that died seven million years ago , have shed new light on the evolution of modern day whales .   fossils from an extinct pygmy sperm whale that died seven million years ago have shed new light on the evolution of modern day whales .
many children are not ready to sit down and do reading , writing and maths when they start school at the age of four or five , according to the national union of teachers -lrb- nut -rrb- .   at its annual conference in harrogate , it will say schools should follow the lead of countries like finland and introduce 45-minute lessons immediately followed by 15-minute play times .   teachers want children to have more play time to encourage greater communication and social skills .
kim callaghan , 39 , piled on the pounds after the birth of her two children , reaching a worrying 20st 3lb .   however , the determined slimmer has now shrunk down to a slender 9st 10lb after taking up exercise and swapping starchy meals for smaller portions .   kim callaghan became so worried that her weight was causing her to look like a man that she went on a dramatic diet that saw her lose half of her body weight .
a researcher says a ` bone flute ' found in slovenia is not an instrument - instead , he says it is simply a bone chewed by a hyena with teeth marks .   the bone is shown here , believed to be the oldest musical instrument discovered in europe , on show in ljubljana .   the bone was discovered on 18 july 1995 in slovenia .
carl froch will be a keen observer when julio cesar chavez jnr returns to the ring after a year-long absence .   froch had hoped to take on the mexican this month in las vegas but a shoulder injury forced the nottingham world champion to pull out .   wba super-middleweight champion carl froch took part in a poker tournament in lenton .
the elite round group 4 qualifier will be restarted at 9:45 pm at seaview stadium in belfast on thursday with the match resuming with england retaking a penalty in the 96th minute at 2-1 down .   england are awarded a penalty during their european u19 women 's championships qualifier in belfast .   referee marija kurtes points to the spot as england are awarded a penalty in the 96th minute .
javier hernandez would have been in no doubt how important his decisive goal for real madrid was in the champions league quarter-final against city rivals atletico madrid after the entrance the squad made to the santiago bernabeu .   real madrid defender raphael varane captured the team 's entrance to the santiago bernabeu on wednesday .   the draw takes place on friday .
