-LRB- CNN -RRB- Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal .   Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu that is home to 425 young women and girls .   While her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on May 12 .
But that was just the start for Hillary Clinton 's most trusted aide Huma Abedin .   And so , relishing her final taste of freedom before the presidential campaign kicks off , the notoriously low-profile staffer enjoyed a family day out in New York - with another Mexican bite .   The 38-year-old was spotted with her husband , disgraced former congressman Anthony Weiner , and two-year-old son Jordan tucking into her second spicy menu of the week on Saturday afternoon .   The family was pictured inside at a table , where Weiner swung his New York Mets baseball cap backwards while he ate .
The name Gary - once one of the most popular name in Britain - is now heading for extinction .   Just 28 of 700,000 babies born in the UK in 2013 were given the name , data from the Office of National Statistics shows .   That compares to 235 Garys being born in 1996 , when the name was the 147th most popular in Britain .   Helped by the popularity of actor Gary Cooper , there was a surge in Garys born in the US in the early 1950s .
Stevie McCrorie has been crowned the winner of The Voice UK 2015 , after beating fellow contestant Lucy O'Byrne in the final .   Now mentor Ricky Wilson , his fellow celebrity judges Rita Ora , Tom Jones and Will.i.am , and most of all bosses at the BBC will all have their fingers crossed for his success .   Series one winner Leanne Mitchell , mentored to success in 2012 by Sir Tom Jones , blew everyone away with her version of Whitney Houston 's I Would Run To You in the live final .   After being dropped by her label Decca , Leanne is now working in the job she thought she 'd left behind - singing for holiday campers at Potters Leisure Resort in Hopton-On-Sea , Norfolk .
A life coach and author with a curvy figure and dyed black locks has been dubbed the Romanian Kim Kardashian .   Alexandra Harra , 28 , who now lives in Miami , has a BA degree in creative writing and classics .   She now works as a professional life coach , a writer for the Huffington Post and an author of The Karma Queens ' Guide to Relationships .   But when she was persuaded to pose on the cover of the Romanian Playboy , she suddenly found it was n't her university education that people were interested in .
Dundee United striker Nadir Ciftci celebrated a goal by blowing a kiss at opposition goalkeeper Scott Bain , but the Turkish midfielder was the one left blushing as his side lost away at rivals Dundee .   Former Portsmouth ace Ciftci briefly levelled the scores at Dens Park when he slotted home a penalty after Greg Stewart had given the hosts the lead .   The 23-year-old celebrated by trying to rile Dundee No 1 Bain , but his actions came back to haunt him as The Dark Blues earned all three points thanks to further goals from Jake McPake and Paul Heffernan .   It was Dundee 's first win in a derby for more than 10 years and breathed further momentum into their push for a top-six place , as United 's poor run of domestic form continued .
That 's a wrap - Mercedes-Benz Fashion Week Australia came to a close on Thursday night in Sydney , with the Johanna Johnson show bringing the event to a spectacular close with her Hollywood-inspired Sirens ' Call presentation .   Make-up trends and accessories threatened to overshadow many of the designs being showcased , with stylists going over the top to stand out with head pieces , masks and other adornments bordering on the ridiculous .   Bigger was better this week with voluminous silhouettes appearing again and again at some of the star shows , including Maticevski and Michael Lo Sordo .   Meanwhile eyebrow-raising head wear frequently outshone the designs on parade - from perspex masks made to look like plastic bags blowing in the wind , to giant animal heads , and Ned Kelly-inspired head pieces .
A British grandmother on death row in Bali for smuggling cocaine has condemned the execution of the Australian Bali Nine duo as ` senseless and brutal ' .   Lindsay Sandiford , 58 , from Cheltenham , now fears she will be the next to face the firing squad and said she ` feels like giving up ' and ` just wants to get it over with ' .   Australians Andrew Chan , 31 , and Myuran Sukumaran , 33 , were executed along with six other prisoners by an Indonesian firing squad .   The Australian pair were the first to die in the latest round of executions after a final KFC bucket meal .
But when basketballer Abby Bishop was just 24 , her life completely changed when she took in her two-day-old niece Zala .   It was August 2013 and Bishop suddenly found herself caring for a newborn , juggling training with sleepless nights and adjusting to her new life .   Now Zala is 20 months old and she follows Bishop as she travels the world playing for professional teams , and will go with her to the U.S. this May when she starts playing for the Seattle Storm in the WNBA .   Bishop , now 26 , said it was a big decision at the time but she would n't change anything .
Former England cricketer Matt Prior will have his mind set on a sporting peak of a different kind when some of the world 's best cyclists re-converge on the Yorkshire roads early next month .   Prior is chief executive of the ONE Pro Cycling team that has been confirmed in the list of entrants for the inaugural Tour de Yorkshire which will run over three stages starting in Bridlington on May 1 .   For Prior the opportunity for his team to compete against the likes of Team Sky and Sir Bradley Wiggins - who will lead his own team in the race for the first time - is only the start of his ambitions .   The former England wicketkeeper is a long-time cycling fan who was mocked by Kevin Pietersen last summer for taking his bike with him on a tour of New Zealand .
When emergency crews received a call saying ` someone ' had been knocked down by a car in Essex , they immediately sent two ambulances to the rescue .   But the vehicles returned to base just moments later when the caller revealed the ` victim ' was actually a squirrel that had been run over in Epping Forest .   The report forms just part of a long list released by East of England ambulance service detailing their most bizarre , and irritating , call outs .   The service said it receives around 2,500 calls per day , and in the last two years has had to deal with 1,248 that did not need emergency help .
Ben Flower does not believe he deserved the standing ovation which greeted his return from suspension on Thursday night .   As his Wigan side beat Warrington 30-20 , the Wales forward made his first appearance since he punched St Helens ' Lance Hohaia in the opening moments of last season 's Grand Final , earning a six-month ban .   The 27-year-old , who came on as a substitute in the 23rd minute of Thursday 's match , told the Daily Star Sunday : ' I was surprised how calm I was , with everything going through my head about doing the right things .   For the fans to stick by me like that is a credit to them .
Inspired by the post-impressionistic era of the Belle Epoque , the newly-opened Maison Souquet may just be the most provocative hotel in Paris .   Considered by many to be the most romantic city in the world , the City of Lights ' latest overnight offering takes a page from the Maisons Closes , the turn-of-the-century pleasures houses that were frequented by socialites and aesthetes .   Situated just steps from the famed Moulin Rouge , this Pigalle haunt is the perfect blend of opulent and edginess .   Whether grabbing a drink in the lounge or hidden champagne bar or checking in to the one of the property 's extravagant suites , the plush velvet and gold-accented interiors , designed by Jacques Garcia , are not to be missed .
Steven Finn believes he has rediscovered the form that made him one of the most exciting fast-bowling prospects in England .   Finn was overlooked for the West Indies tour , but has spent time since the World Cup working on his run-up -- and watching videos of his best spells as a reminder of why he became the youngest English bowler to take 50 Test wickets .   Finn 's claims will be music to the selectors ' ears as they begin to fret about England 's fast-bowling stocks .   The 26-year-old Finn has played only one Championship game for Middlesex this season , but insisted he felt ready to add to his 23 Test caps , the last of which he won back in 2013 .
A holidaymaker who jetted off to Cyprus to celebrate his new job was sacked before starting after returning with a stun gun , baton and knuckle duster in his luggage .   Paul Armstrong , 26 , of Sunderland , flew to Cyprus with four friends before beginning his new role as an IT project manager .   But after a spending spree on the trip , Armstrong was stopped at the airport with the stun gun disguised as a torch , extendable baton and knuckle duster stuffed in his luggage .   A court heard how the stun gun was capable of administering an electrical discharge which would cause a victim to ` startle and repel ' .
Usually a highlight of Mercedes-Benz Fashion Week Australia , Alex Perry 's name is a notable absence from the schedule in 2015 .   The designer revealed in February that he would not be presenting a collection at the Sydney event this week , and revealed to Daily Mail Australia on Sunday that he was enjoying ` taking a breather ' .   Despite this year marking the 20th anniversary of MBFWA , Perry is taking in the fashions from the comfort of the front row , after focusing on his international efforts of late .   This is only the second Fashion Week the design powerhouse has missed in two decades .
More than a dozen people were injured on Thursday night after a stage collapsed during an Indiana public high school theater performance , sending students plummeting 10 feet into an orchestra pit .   One of the victims suffered critical head trauma as the stage fell half-way through a song during a sold-out showing of American Pie at Westfield High School .   The calamity occurred at the worst possible time - just as dozens walked on stage for the finale .   After the students behind her plunged into the orchestra pit , she was so shocked that she was unable to move , she said , and was still holding the microphone 30 minutes later .
Liverpool manager Brendan Rodgers has written off Manchester City 's chances of signing Raheem Sterling this summer by declaring the Anfield club are bigger than their Etihad rivals and making it clear they have no intention of becoming their feeder team .   Ahead of Sunday 's FA Cup semi-final against Aston Villa at Wembley , Rodgers indicated it could take two decades for Sheik Mansour 's club to reach the status of either Liverpool or Manchester United .   City have been heavily linked with a # 50million move for Sterling , who has two years left on his contract and is stalling on a new deal .   The champions have also monitored vice-captain Jordan Henderson , who only has a season left on his Anfield contract .
One in five Chinese restaurants are believed to be serving shark fin soup exploiting a legal loophole allowing people to bring the meat to this country if it is for personal consumption , a charity claims .   The loophole came to light after trading standards officers raided restaurant The Royal China Club , on Baker Street in central London , and confiscated illegally imported fins .   Charity Bite-Back , which campaigns to protect sharks , reported the eatery after Jason Chan , its marketing manager , boasted that it sold the soup and another dish made with ground shark teeth .   More than 70 million sharks are killed each year for their fins , often dying slow , painful deaths after being dumped back into the sea once their most valuable parts have been cut off .
A cafe owner has laid down a challenge to diners with a gut-busting morning meal that contains a whopping 4,000 calories .   Olly Taylor , 27 , is offering his version the Easter Feast , which is stuffed with the equivalent of almost 100 teaspoons of sugar , at his Black Milk cafe in Manchester 's Northern Quarter .   The breakfast includes two types of cereal served in half an Easter egg , with brownies , marshmallows and mini eggs , topped off with three different types of flavoured milk .   For # 7 , customers looking to get their day off to a jittery start will be treated to a 291g milk chocolate Easter egg , with one half used as a bowl , served on a bed of baked and caramelised white chocolate to support the structure .
The European Union will today accuse Google of illegally abusing its supremacy on the internet search market .   Brussels will say that Google has used its massive dominance as a search engine to divert internet users from rivals to its own services , which include YouTube and the Google + social network .   In one of the most high-profile competition cases of recent years , Europe could fine Google more than # 4 billion amid a wave of political opposition in Europe to the perceived dominance of US tech companies .   Google currently boasts a 90 per cent share in Europe 's search engine market .
Phil Smith , 25 , scaled a fence to try to get in his flat in Cottingham , Hull , but fell and hit his head .   The 25-year-old , who worked at a school for disabled children , fractured his skull and suffered a bleed on the brain and a blood clot in the fall .   He was placed in a medically induced coma at Hull Royal Infirmary , but died five days later on April 9 .   Mr Smith 's parents have paid tribute to their ` lovely son ' who had a ` natural talent with children ' .
Tottenham will subsidise Emmanuel Adebayor 's # 100,000-per-week wages to finally get rid of the striker this summer .   The Togolese striker is out of favour at White Hart Lane , with both the player and manager Mauricio Pochettino happy for the hitman to leave once the transfer window re-opens .   But Adebayor 's wages will prove a key factor this summer , with the striker unwilling to take anything less than his current # 5.2 million salary before accepting a move .   However , Spurs are now willing to pay a percentage of Adebayor 's wages next season in an attempt to ensure he leaves .
John Helm was commentating on Bradford City 's game against Lincoln City when the fire broke out and still struggles to listen to his description of that fatal day .   Here he gives his insight into what caused the blaze .   Approaching the 30th anniversary of the Bradford City fire , it was inevitable I would be asked to recall the horrific images from a match I was commentating on for Yorkshire Television .   What I did not expect was for someone to suggest the fire may not have been an accident , as Martin Fletcher has done with his book Fifty-Six , the Story of the Bradford Fire .
Rory McIlroy put the golf clubs away as he battled with Fifty Shades of Grey star Jamie Dornan to promote new football concept Circular Soccer .   McIlroy was filmed battling with fellow Northern Irishman Dornan during a match of Circular Soccer , a new football game based around a three sided goal and aimed to improve skill and ball control .   The World No 1 golfer defeated the film star 2-1 to take the crown , with the deciding goal coming from an impressive long-range finish .   McIlroy was taking time away from golf after competing at the Masters in Augusta where he overcame a slow to start to finish an impressive fourth .
Chris Christie appeared on the Tonight Show Wednesday evening , and wasted no time calling on Jimmy Fallon for the weight jokes made about him on the program .   Then , to make amends , Fallon gave Christie his favorite food - ice cream .   Fallon however pulled out two spoons thinking the men could share the ice cream , at which point Christie took the treat for himself , slowly moving away .   The ice cream , The Tonight Dough , was named after the show by Ben & Jerry 's , and includes caramel and chocolate ice creams with chocolate cookie swirls and gobs of chocolate chip cookie dough and peanut butter cookie dough .
Heathrow airport are threatening to strip Qantas of their eight valuable landing spots after they continually arrived late , according to internal memos .   The Australian airline could also be facing a massive # 20,000 fine , that 's more than AU$ 38,000 , for every time the A380 flights set down more than fifteen late on the English tarmac .   Fairfax published an internal a memo sent by Captain Martin Gardiner , manager of base operations at Sydney , that details the airlines failings while insisting can staff improve their waning performance .   While Qantas ' on time performance rating at Heathrow dropped to 75th out of 80 in the month of February , they are at serious risk of losing their landing spots at Heathrow before next flying season .
Wheelchair-bound Christopher Starrs , 50 , was allowed to go free from court with just a suspended jail sentence in January after admitting his part in a two-and-a-half year con against his employer BT .   Starrs , along with fellow BT Openreach manager Phillip Tamplin , invented clamped cars , overtime hours and damage to home owners ' property during broadband installation , and paid off engineers to help them make the fake claims .   Both Starrs and Tamplin , 53 , who made # 124,000 from the con , admitted submitting the string of bogus expenses .   Tamplin was jailed for two years at January 's sentencing hearing , but Mr Recorder Stuart Trimmer QC spared Starrs jail as an ` act of mercy ' - although he ordered him to repay the money he took and pay a # 1,500 fine .
All eyes will be on Cristiano Ronaldo when Real Madrid visit Rayo Vallecano in La Liga on Wednesday .   The 30-year-old hit five in Real 's thumping 9-1 win against Granada at the weekend to take his tally to 36 goals in the league so far .   Ronaldo 's quintuplet moved him above Lionel Messi in the race for the Pichichi trophy given to the top goalscorer in La Liga at the end of the season .   And going into Wednesday 's Madrid derby , Marca builds up to the match by focusing on Ronaldo .
Andrew Flintoff fears Kevin Pietersen is ` running out of time ' to resurrect his England career .   Flintoff , speaking at the England and Wales Cricket Board 's NatWest T20 launch , sees a bright summer and lasting future ahead for ` probably the premier tournament ' in this country .   The dual Ashes-winning all-rounder is less convinced , however , about Pietersen 's prospects of forcing his way back into Test contention .   Pietersen already has three Ashes series wins on his CV but will be 35 before the 2015 edition begins , and Flintoff senses he no longer has age on his side .
Needless to say , we were disappointed to see Julio Cesar Chavez Jnr lose at the weekend against Andrzej Fonfara .   It was n't a result we were expecting and it also blows away the chance of Froch and Chavez fighting in Las Vegas -- a fight Carl wanted .   Now we turn to three big fights in the next two months to see what Carl does next .   There is the possibility of Paul Smith-Andre Ward in the pipeline , Anthony Dirrell versus Badou Jack for the WBC world title and Andre Dirrell 's IBF world title fight against James DeGale , which is the biggest bout of this trio .
Eerie footage has emerged showing a mysterious 100 metre-wide black ring of smoke floating over clear skies in Kazakhstan - convincing locals it was caused by a UFO .   The clip was filmed on Saturday in Shortandy village , 40 miles north of the capital Astana , and captures the cloud hovering in the sky for 15 minutes before suddenly vanishing without trace .   The video has been viewed more than 50,000 times since being uploaded to YouTube , prompting all manner of bizarre explanations for the phenomenon - with many seemingly convinced it is definitive proof of extra-terrestrial life .   Confused locals watched the mysterious cloud hover ominously over Shortandy for a quarter of an hour on Saturday morning before it vanished as quickly as it appeared .
Authorities in El Salvador have moved prisoners from two of the country 's hyper-violent gangs into the same prison for the first time , in a bid to stop them running operations from behind bars .   Incredible images show handcuffed members from the notorious Barrio 18 gang being marched onto buses taking them from Izalco jail to San Francisco Gotera in an effort to curb gang violence .   In all 1,177 Barrio 18 members were transferred .   In a potentially incendiary move , Barrio 18 members at the jail will mix with their rivals from the hyper-violent Mara Salvatrucha gang , or MS-13 .
Steve Clarke sprang up and pumped the air with his fist .   All of a sudden , there was a little extra bounce in his box-fresh training shoes and a fire in his belly burned a little more fiercely .   As a Chelsea player and coach , Clarke has fought hard across the capital with Arsenal over the years but through the first-half at Wembley , his Reading team struggled to match their illustrious opponents .   Mesut Ozil and Alexis Sanchez , bought for a total of more than # 70million , combined to open the scoring .
England have finally arrived home from Turin after their delayed flight landed at Manchester Airport following Tuesday night 's 1-1 draw with Italy .   The squad had originally been set to leave northern Italy immediately after the game but a technical issue with their plane made it necessary for Roy Hodgson 's men to take an extra night 's stay .   Stopping in Manchester for the side 's northern-based players and staff before moving on to London , players from Manchester United , Manchester City , Everton , Liverpool , Aston Villa and Stoke City all left to rejoin their clubs ahead of a full programme in the Barclays Premier League this weekend .   Wayne Rooney , Joe Hart , Chris Smalling , Phil Jones , Ross Barkley , Phil Jagielka , Jordan Henderson , Michael Carrick , Fabian Delph and Jack Butland were among the party leaving the plane in Manchester .
That 's not a light lunch , it 's just bad lighting , say administrators at a Virginia School standing up for their FLOTUS approved school meals .   A concerned mother took a photo of her child 's lunch consisting of a dull looking fish fillet , a whole wheat bun , and corn and then posted it to social media this week .   Virginia 's Portsmouth Public Schools say that their lunches are in compliance with Michelle Obama 's federal lunch rules .   ` Poor lighting and food presentation make this lunch unappealing , ' he said in a statement released to the media .
Rome -LRB- CNN -RRB- The Italian navy has boarded and retaken control of a fishing boat that had been seized hours earlier by gunmen off the coast of Sicily , the Italian military said Friday .   The boat , named Airone , was intercepted some 90 kilometers -LRB- 56 miles -RRB- from the Libyan port of Misrata , according to a statement from the Italian Joint Forces .   An Italian naval unit boarded the fishing boat and took custody of a Libyan soldier on the vessel , according to a statement by the Italian Navy .
A coroner has slammed the ease with which illegal drugs can be ordered over the ` dark web ' after two student brothers died consuming ecstasy they had bought online .   Astrophysics undergraduate Torin Lakeman , 19 , died alongside his brother Jacques , 20 , in a pub in Manchester after consuming six times the lethal dose of MDMA after ordering the drug via the web .   At Bolton Coroner 's Court today , Alan Walsh said he would be contacting Home Secretary Theresa May over the deaths , adding that it was unacceptable that ` intellectual people are able to access drugs in this way . '   The brothers , both from the Isle of Man , were found in a hotel room above The Grapes Pub in Bolton on 1st December last year after travelling to watch Manchester United play at Old Trafford .
An amazing quirk of genetics means that one sister has black skin and the other is white .   The effect is so striking that even their own father has said it is hard to believe that they are related .   As non-identical twins , they were created when two eggs were fertilised by two sperm .   But , in odds of a million to one , Baylee has inherited a set of genes for white skin .
It was a tall order for workman but they have successfully completed the latest tourist attraction in China expected to draw the crowds .   The new ` Skywalk ' observation deck has opened to the public in Yunyang County , southwest China , and those with vertigo are advised to stay at home .   The cantilevered platform in Chongqing has a 720 degree view from a vantage point that stands nearly 4,000 feet above sea level .   Its incredible viewing area protrudes nearly 90ft from the cliff face at the Longgang scenic area - which is more than 16ft longer than a similar tourist attraction at the Grand Canyon in America .
Liverpool 's players must focus on getting themselves and the club into the semi-finals of the FA Cup rather than Steven Gerrard , according to Reds legend Robbie Fowler .   Gerrard will leave Anfield at the end of the season to join Major League Soccer side LA Galaxy and the skipper is hoping to bow out in style by leading Brendan Rodgers ' side to the final at Wembley .   But ahead of Wednesday night 's quarter-final replay with Blackburn , Fowler has warned Gerrard 's team-mates not to concentrate on providing the 34-year-old with a fairytale ending to his Liverpool career .   Gerrard will miss the trip to Ewood Park as he serves the second match of a three-game suspension and Fowler hopes that Jordan Henderson and Co put their missing captain to the back of their minds
-LRB- CNN -RRB- Recently , a New York judge issued an opinion authorizing service of divorce papers on a husband completely via Facebook .   In practice , it turns out people do n't like being sued .   As reliable as the U.S. mail is , regular mail is not a reliable form of serving papers .
A telescopic tube that scans the lungs for cancer is being used by NHS doctors , cutting diagnosis time from days to just 30 minutes .   When tumours in the lungs are suspected , patients can face a raft of tests and even surgery to find out if they have the disease , often resulting in an agonising wait before they start lifesaving treatment .   Now doctors at University College London Hospitals NHS Foundation Trust -LRB- UCLH -RRB- are able to start vital treatment much sooner using a single procedure .   A finger-width flexible tube called an endobronchial ultrasound -LRB- EBUS -RRB- allows doctors to see inside the lungs and take a tissue sample in one go .
England may be well on course to sealing their spot at Euro 2016 but it appears as if manager Roy Hodgson still does not know his best XI .   Sportsmail 's top team of reporters have submitted their starting line-ups for the finals in France , assuming everyone is fit of course .   Let us know your England XIs by posting them in the comments section below .   England 's defensive options remain their big problem so this is a team set up to score goals and win games by playing on the front foot .
The BBC has made light of disgraced presenter Jeremy Clarkson 's attack on a junior producer by poking fun at the incident in a comedy programme .   A new episode of mockumentary W1A , to be broadcast later this month , shows bosses holding an emergency meeting after Clarkson uses the word ` tosser ' on Top Gear .   The episode was apparently filmed last July , but the narration has recently been tweaked .   Clarkson 's spokesman was unavailable for comment .
Kansas is one signature away from telling poor families that it 's illegal to use their welfare payments to buy alcohol , tobacco and pornography , to visit strip clubs or tattoo shops , and to take vacation cruises or gamble on dog or horse races .   Swimming pools , jewelry and lingerie stores , psychics , movie theatre , nail salons , massage parlors , bars and theme parks will also be forbidden territory for the first time , if Republican Gov. Sam Brownback signs a bill that hit his desk last week .   The proposal would also give the force of state law to some of brownback 's policies , including one that requires ` temporary cash assistance ' recipients to hold down jobs , look for work or enroll in job training programs .   Under the rules of the bill passed in the state legislature , bail-bondsmen would no longer be allowed to accept the cards as payment .
A video showing a man cracking a giant egg to reveal another fully formed egg inside , may be enough to scramble your brain .   YouTube user Elman511 cracked open the over-sized egg that was laid by one of his hens , exclaiming : ` The big egg has another normal egg in it ! '   While the instance is extremely rare , it 's caused when the hen is in the process of forming an egg in her oviduct and another oocyte -- the ovum or egg cell that becomes the yolk of the egg -- is released too soon .   In the video , Elman511 cracks the egg , which is double the size of a normal one , to find a standard-sized egg inside , along with yolk and white .
-LRB- The Hollywood Reporter -RRB- Richard Dysart , the Emmy-winning actor who portrayed the cranky senior partner Leland McKenzie in the slick , long-running NBC drama `` L.A. Law , '' has died .   Dysart , who also played Coach in the original 1972 Broadway production of Jason Miller 's Pulitzer Prize-winning `` That Championship Season , '' died Sunday at home in Santa Monica after a long illness , his wife , artist Kathryn Jacobi , told The Hollywood Reporter .   For playing the founder of the firm McKenzie , Brackman , Chaney and Kuzak , Dysart was nominated for the Emmy for outstanding supporting actor in a drama series for four straight years , finally winning the trophy in 1992 .
Nestled between a 65ft high snow cavern , the winding track of Murodo looks like track that could be on Mario Kart .   However this steep-walled phenomena is located in Japan and attracts visits from thousands of tourists annually - with the number predicted to rise this year .   The Tateyama Kurobe Alpine Route opened to the public on today and allows tourists to view the spectacular snow-walled passageway along the 1000ft section .   The Murodo-daira area of Tateyama unsurprisingly experiences one of the heaviest snowfalls in the world , with the 65ft walls being created every year , and then melting by July .
A 31-year-old British woman has died in a freak accident when she was crushed by a falling tree in the Bolivian jungle while on her dream round-the-world trip .   Louise Shepherd had been hiking through the remote Madidi national park in the north-western part of the country when a tree toppled onto her during a storm .   Ms Shepherd , from Cobham , Surrey , had taken a ` gap year ' off work in order to go travelling around the world with her sister Hannah and college friend Rose Jones , both 30 .   Her grief-stricken parents , Peter and Christine Shepherd from Cobham , Surrey said they were left having to choose a burial plot instead of planning for her birthday .
Wealthy buyers are demanding a lower ` Ed Miliband ' price to compensate for any future mansion tax bills introduced by the Labour leader if he becomes Prime Minister .   Estate agents in London are now said to be offering a higher ` Cameron price ' and lower ` Miliband price ' for the same property .   Mr Miliband has pledged to introduce an annual levy on homes worth more than # 2million to raise money for the NHS .   Under plans drawn up by shadow chancellor Ed Balls , homeowners with properties worth between # 2million and # 3million will be forced to pay # 3,000 a year in mansion tax .
The family of a disabled man claim he had to have all of his toes amputated after he was forced to live in a tent through the winter because he was evicted from his home .   Mitchell Keenan , 32 , was diagnosed with frostbite six weeks ago after his sister discovered his blackened toes and rushed him to hospital .   They were so badly diseased that they could not be saved and they had to be amputated .   It came after Mr Keenan had been living in the tent with his father Keith , 62 , following their eviction from their four-bedroom home in Skelmersdale , West Lancashire , last year when they fell behind with their repayments .
John Carver says his Newcastle players have a point to prove to themselves at Liverpool on Monday night .   The Magpies are in danger of being sucked into what had previously seemed an unlikely relegation battle given their alarming run of form .   Amid accusations of the team ` playing with their flip-flops on ' , United have lost four on the spin - scoring just once - and Carver admits he does not know where their next point is coming from .   It is unlikely to arrive at Anfield , a venue at which they last won in 1994 .
Ipswich boss Mick McCarthy hailed the ` belligerent , stubborn and hard working ' qualities of his ` horrible bunch ' of players after a determined 1-1 draw at his former club Wolves moved Town closer to securing a place in the SkyBet Championship play-offs .   Despite Wolves bouncing back to take a point through Benik Afobe 's 31st goal of the season in the 50th minute after a Richard Stearman own goal had given Ipswich a first-half lead , Town 's play-off hopes are now in their own hands with two games remaining .   Former Wolves boss McCarthy was delighted with his side 's determined display and he said : ` It was a good performance and a good point .   McCarthy , who was sacked by Wolves in February 2012 after almost six years in charge of the club , insisted that he did not have anything to prove on his second return to Molineux .
An Australian kangaroo has hopped to it 's freedom , shocking onlookers in West Germany .   Police in Rhein Erft , received a bizarre phone call explaining that a large kangaroo was spotted ` happily ' hopping through a field .   They immediately assumed it was a April Fools prank and dismissed the strange call .   It was n't until the caller was questioned in detail and provided ` very believable ' answers , that the police realised that they were telling the truth .
Gloating as he relaxes with his AK-47 , these pictures show an al-Qaeda commander relaxing inside a palace in Yemen just days after terrorists liberated him from prison .   Khalid Saeed Batarfi was a senior leader with al-Qaeda in the Arabian Peninsula -LRB- AQAP -RRB- before he was jailed by Yemeni officials .   Two days ago he was freed , along with 300 other inmates , as the terrorist group stormed the prison he was being held in , killing two guards .   Batarfi is among AQAP 's top regional commanders , known for his leading role in a 2011-2012 battle with government troops during which extremists seized large parts of the south and east of Yemen .
The sequel to the Girl With The Dragon Tattoo series has been shrouded in such secrecy the novel is being written on computers with no internet connection to avoid any leaks .   The Girl In The Spider 's Web , published worldwide on August 27 , will be the fourth installment in the best-selling Millennium crime trilogy by Swedish author Stieg Larsson .   The book was completed in November by David Lagercrantz based on a plot outline left by Larsson before he died of a heart attack in 2004 aged 50 .   Mr Lagercrantz , known for co-authoring Swedish football star Zlatan Ibrahimovic 's autobiography , said the publishers have gone to extreme lengths to keep the novel under wraps .
Sunderland vs Newcastle United -LRB- Stadium of Light -RRB-   Sunderland midfielder Lee Cattermole will return to the starting line-up for Sunday 's derby clash with Newcastle .   Head coach Dick Advocaat has confirmed that Cattermole will be back against the Magpies after serving a two-match ban for reaching 10 bookings for the season .   However , Advocaat will be without experienced defender Wes Brown , who is facing up to a month on the sidelines with a knee problem , while midfielders Will Buckley -LRB- knee -RRB- and Emanuele Giaccherini -LRB- ankle -RRB- are still out .
But having taken to the social networking site to share fun snaps of her life , the 18-year-old has found herself at the end of some cruel and unnecessary criticism .   Sofia , the middle child of Chelsea FC owner Abramovich 's five offspring with second wife Irina , revealed she had been bullied by users of the site about her appearance and weight .   But now Sofia has hit back , saying that she is going to turn the negative comments into a positive for her life .   Sofia is Roman 's daughter from his second marriage to Irina Vyacheslavovna Malandina .
The divers stopped searching months ago because of the winter and water conditions , and the South Korean ferry remains on the bottom of the sea floor .   The Sewol sank on April 16 , killing 304 people , mostly high school students who were on their way to a field trip to Jeju island , off South Korea 's southern coast .   On Thursday , the one year anniversary of the disaster , South Korea 's President Park Geun-hye called for the salvage of the Sewol 's wreck `` as soon as possible . ''
A Russian nuclear submarine that caught fire in a shipyard was submerged to extinguish the blaze yesterday .   The emergency move came after premature reports that the flames had been put out .   Defence sources said the submarine 's weapons and critical elements of its nuclear reactor had been removed before the fire broke out .   The 500ft-long Oryol was in dock at Zvezdochka shipyard in Severodvinsk , 620 miles north of Moscow , on the White Sea .
Javier Hernandez scored the goal of his life on Wednesday night but Real Madrid are unlikely to take up their option to buy the player .   The Mexico international broke down in tears after scoring the goal that beat rivals Atletico Madrid in the Champions League quarter final and was hailed as the golden boy of Real .   Yet , once the emotions have settled , Real intend to find a striker who can offer a greater threat in reserve .   United have no shortage of interest in Hernandez who has one year left on contract and his exploits in the Bernabeu will only strengthen their hand .
In 2008 , Naomi Jacobs - then aged 32 - woke up terrified of her son , in totally unrecognisable surroundings and thought she was 15 years old .   Overnight , she had been struck with Transient Global Amnesia , a form of memory loss brought on by stress that had wiped the ` episodic ' part of her memory .   The last thing she could remember was falling asleep in her bunk bed as a schoolgirl , dreaming about a boy she had a crush on .   She thought it was 1992 , John Major was prime minister and she was about to sit her GCSEs .
A prisoner who has finally been freed after spending half his life in jail for a crime he did not commit has said all he wants to do is spent time with his wife and go fishing .   Michael Hanline , 69 , was convicted of murder for the fatal shooting of truck driver J.T. McGarr in 1980 .   But more than three decades after he was incarcerated , it emerged that crucial DNA analysis and investigative reports were withheld from his original trial .   The new evidence proved that Hanline was innocent and the longest-serving wrongfully imprisoned inmate in Californian history was finally released last November .
It was thought that Edward Snowden was living in a secret location in Russia after his 2013 leaks made him a wanted man by the US Government -- but it seems he 's actually set up shop in the middle of the White House .   At least , that 's where the whistleblower is according to Google Maps .   A business called Edward 's Snow Den has appeared in the US President 's headquarters thanks to the clever work of security consultant Bryan Seely .   Mr Seely , from Seattle , told MailOnline that he created the fake listing during a TED Talk in Kirkland to demonstrate a flaw in Google Maps that could be exploited to cause more serious problems .
Then more ominously on December 23 last year , computers at the country 's nuclear operator were breached .   And South Korean investigators say they have proof -- the actual malicious codes used in the attacks .   The latest high-profile digital incursion , in December , attempted to steal data from South Korea 's nuclear operator , including plant blueprints and personnel information .
